,Unnamed: 0,City,Total cases,In-patient,Recoveries,Deaths,Date,Location,Cases
170,,,,,"5,112",98,06-08-2021,Central African Republic,"7,151"
171,,,,,"4,271","1,383",06-08-2021,Yemen,"7,104"
172,,,,,"5,557",628,06-08-2021,Luhansk PR,"7,004"
173,,,,,"6,484",35,06-08-2021,Eritrea,"6,573"
174,,,,,"4,293",120,06-08-2021,Sierra Leone,"6,303"
175,,,,,"5,404",90,06-08-2021,Saint Lucia,"5,688"
176,,,,,"5,354",196,06-08-2021,Niger,"5,669"
177,,,,,"2,715",148,06-08-2021,Liberia,"5,459"
178,,,,,"4,019",33,06-08-2021,Isle of Man,"5,235"
179,,,,,"5,009",90,06-08-2021,San Marino,"5,147"
180,,,,,"4,669",95,06-08-2021,Gibraltar,"5,059"
181,,,,,"4,796",174,06-08-2021,Chad,"4,976"
182,,,,,"4,496",39,06-08-2021,U.S. Virgin Islands,"4,854"
183,,,,,"3,899",311,06-08-2021,Somaliland,"4,608"
184,,,,,"3,968",76,06-08-2021,Guinea-Bissau,"4,498"
185,,,,,"4,299",48,06-08-2021,Barbados,"4,443"
186,,,,,"3,644",60+,06-08-2021,South Ossetia,"4,371"
187,,,,,"3,873",147,06-08-2021,Comoros,"4,030"
188,,,,,"3,022",59,06-08-2021,Liechtenstein,"3,094"
189,,,,,"2,770",33,06-08-2021,Monaco,"2,961"
190,,,,,337,31,06-08-2021,Artsakh,"2,958"
191,,,,,"2,690",34,06-08-2021,Sint Maarten,"2,891"
192,,,,,"2,503",33,06-08-2021,Bermuda,"2,589"
193,,,,,"1,854",19,06-08-2021,Mauritius,"2,569"
194,,,,,"2,418",2,06-08-2021,Bhutan,"2,540"
195,,,,,"2,473",26,06-08-2021,New Zealand,"2,524"
196,,,,,"1,914",31,06-08-2021,British Virgin Islands,"2,500"
197,,,,,"2,438",18,06-08-2021,Turks and Caicos Islands,"2,499"
198,,,,,"2,365",37,06-08-2021,São Tomé and Príncipe,"2,465"
199,,,,,"2,233",12,06-08-2021,Saint Vincent and The Grenadines,"2,298"
200,,,,,"1,651",17,06-08-2021,Bonaire,"1,687"
201,,,,,"1,239",43,06-08-2021,Antigua and Barbuda,"1,311"
202,,,,,751,1,06-08-2021,USS Theodore Roosevelt,"1,102"
203,,,,,0,0,06-08-2021,Charles de Gaulle,"1,081"
204,,,,,183,21,06-08-2021,Tanzania,"1,017"
205,,,,,963,2,06-08-2021,Faroe Islands,987
206,,,,,920,16,06-08-2021,Guernsey,987
207,,,,,649,42,06-08-2021,Sahrawi Arab DR,732
208,,,,,698,14,06-08-2021,Diamond Princess,712
209,,,,,635,2,06-08-2021,Cayman Islands,644
210,,,,,549,3,06-08-2021,Saint Kitts and Nevis,600
211,,,,,438,7,06-08-2021,Wallis and Futuna,445
212,,,,,289,3,06-08-2021,Brunei,339
213,,,,,209,0,06-08-2021,Dominica,218
214,,,,,32,2,06-08-2021,Northern Mariana Islands ,198
215,,,,,160,1,06-08-2021,Grenada,161
216,,,,,90,0,06-08-2021,Greenland,151
217,,,,,148,0,06-08-2021,Costa Atlantica,148
218,,,,,58,0,06-08-2021,New Caledonia,134
219,,,,,No data,1,06-08-2021,Greg Mortimer,128
220,,,,,111,0,06-08-2021,Anguilla,113
221,,,,,63,0,06-08-2021,Falkland Islands,63
222,,,,,54,0,06-08-2021,Macau,63
223,,,,,0,0,06-08-2021,Antarctica,58
224,,,,,27,0,06-08-2021,Vatican City,29
225,,,,,26,0,06-08-2021,Saint Pierre and Miquelon,28
226,,,,,20,1,06-08-2021,Montserrat,21
227,,,,,20,0,06-08-2021,Sint Eustatius,20
228,,,,,18,0,06-08-2021,Solomon Islands,20
229,,,,,No data,4,06-08-2021,MS Zaandam,13
230,,,,,No data,3,06-08-2021,Coral Princess,12
231,,,,,No data,0,06-08-2021,SeaDream I,9
232,,,,,8,0,06-08-2021,"Saint Helena, Ascension and Tristan da Cunha",8
233,,,,,8,0,06-08-2021,HNLMS Dolfijn,8
234,,,,,7,0,06-08-2021,Saba,7
235,,,,,2,0,06-08-2021,British Indian Ocean Territory,5
236,,,,,4,0,06-08-2021,Marshall Islands,4
237,,,,,3,0,06-08-2021,American Samoa,4
238,,,,,1,0,06-08-2021,Samoa,3
239,,,,,3,0,06-08-2021,Vanuatu,3
240,,,,,0,0,06-08-2021,Kiribati,2
241,,,,,2,0,06-08-2021,Palau,2
242,,,,,1,0,06-08-2021,Federated States of Micronesia,2
243,,,,,,,06-08-2021,,
